Date,SP_500,VN_30,VN_Index,VN_Index_volum,XAU_USD,XAU_USD_volum,USD_VND,USD_VND_volum,Gold,Gold_volum,Oil,Oil_volum,Bitcoin,Bitcoin_volum,FPT
2022-12-30,3839.5,1005.19,1007.09,-0.22,1824.4,0.52,23610.0,0.04,1819.699951171875,95.0,85.91000366210938,19375.0,16602.5859375,15929162910.0,65436.0
2022-12-31,3835.66,1015.705,1016.2925,0.7500000000000001,1824.1633333333334,0.33333333333333337,23586.25,-0.07,1824.699951171875,78.5,84.9575023651123,21421.0,16547.49609375,11239186456.0,66882.66666666667
2023-01-01,3831.8199999999997,1026.22,1025.4950000000001,1.7200000000000002,1823.9266666666667,0.14666666666666667,23562.5,-0.18,1829.699951171875,62.0,84.00500106811523,23467.0,16625.080078125,9244361700.0,68329.33333333333
2023-01-02,3827.98,1036.7350000000001,1034.6975,2.69,1823.69,-0.04,23538.75,-0.29000000000000004,1834.699951171875,45.5,83.05249977111816,25513.0,16688.470703125,12097775227.0,69776.0
2023-01-03,3824.14,1047.25,1043.9,3.66,1839.49,0.87,23515.0,-0.4,1839.699951171875,29.0,82.0999984741211,27559.0,16679.857421875,13903079207.0,68499.0
2023-01-04,3852.97,1050.15,1046.35,0.23,1854.09,0.79,23510.0,-0.02,1852.800048828125,25.0,77.83999633789062,24772.0,16863.23828125,18421743322.0,69350.0
2023-01-05,3808.1,1061.9,1055.82,0.91,1833.19,-1.13,23475.0,-0.15,1834.800048828125,24.0,78.69000244140625,28051.0,16836.736328125,13692758566.0,70201.0
2023-01-06,3895.08,1057.4,1051.44,-0.41,1865.71,1.77,23460.0,-0.06,1864.199951171875,26.0,78.56999969482422,23767.0,16951.96875,14413662913.0,71052.0
2023-01-07,3894.0833333333335,1058.6466666666668,1052.3633333333335,-0.18666666666666668,1867.67,1.2866666666666666,23455.666666666668,-0.06,1867.0332845052083,38.0,78.93000030517578,25839.666666666668,16955.078125,7714767174.0,77287.5
2023-01-08,3893.0866666666666,1059.8933333333334,1053.2866666666666,0.036666666666666625,1869.6299999999999,0.8033333333333333,23451.333333333332,-0.06,1869.8666178385417,50.0,79.29000091552734,27912.333333333332,17091.14453125,9768827914.0,83523.0
2023-01-09,3892.09,1061.14,1054.21,0.26,1871.59,0.32,23447.0,-0.06,1872.699951171875,62.0,79.6500015258789,29985.0,17196.5546875,18624736866.0,84148.66666666667
2023-01-10,3919.25,1060.53,1053.35,-0.08,1877.27,0.3,23445.0,-0.01,1871.5999755859375,101.0,80.0999984741211,21541.0,17446.29296875,15808338949.0,84774.33333333333
2023-01-11,3969.61,1065.22,1055.76,0.23,1876.38,-0.05,23440.0,-0.02,1874.5999755859375,1236.0,82.66999816894531,29995.0,17934.896484375,18372283782.0,85400.0
2023-01-12,3983.17,1066.24,1056.39,0.06,1896.86,1.09,23438.0,-0.01,1895.5,59.0,84.02999877929688,29360.0,18869.587890625,34971338710.0,92400.0
2023-01-13,3999.09,1069.86,1060.17,0.36,1920.21,1.23,23435.0,-0.01,1918.4000244140625,512.0,85.27999877929688,17857.0,19909.57421875,29225029694.0,68074.0
2023-01-14,3997.06,1071.81,1062.3400000000001,0.4433333333333333,1919.4733333333334,0.78,23438.333333333332,0.006666666666666666,1915.6000061035156,560.5,85.43999862670898,22557.25,20976.298828125,38967784639.0,68300.66666666667
2023-01-15,3995.0299999999997,1073.76,1064.51,0.5266666666666666,1918.7366666666667,0.32999999999999996,23441.666666666668,0.02333333333333333,1912.7999877929688,609.0,85.5999984741211,27257.5,20880.798828125,19298407543.0,68527.33333333333
2023-01-16,3993.0,1075.71,1066.68,0.61,1918.0,-0.12,23445.0,0.04,1909.9999694824219,657.5,85.7599983215332,31957.75,21169.6328125,26792494050.0,68754.0
2023-01-17,3990.97,1103.73,1088.29,2.03,1908.39,-0.5,23427.0,-0.08,1907.199951171875,706.0,85.91999816894531,36658.0,21161.51953125,24999983362.0,69776.0
2023-01-18,3928.86,1115.72,1098.28,0.92,1903.76,-0.24,23437.0,0.04,1904.4000244140625,1027.0,84.9800033569336,26461.0,20688.78125,30005625418.0,70967.0
2023-01-19,3898.85,1121.92,1108.08,0.89,1931.39,1.45,23440.0,0.01,1922.0999755859375,371.0,86.16000366210938,28822.0,21086.79296875,21152848261.0,71392.0
2023-01-20,3972.61,1123.01125,1109.2075,0.88,1926.57,-0.25,23442.5,0.02,1926.4000244140625,1346.0,87.62999725341797,24374.0,22676.552734375,28799154319.0,71402.625
