Date,EUR
2024-01-25,1867.27
2024-01-26,1857.93
2024-01-29,1870.61
2024-01-30,1884.91
2024-01-31,1892.4
2024-02-01,1881.59
2024-02-02,1886.27
2024-02-05,1879.13
2024-02-06,1888.94
2024-02-07,1896.52
2024-02-08,1883.09
2024-02-09,1876.04
2024-02-12,1869.04
2024-02-13,1862.9
2024-02-14,1849.87
2024-02-15,1862.15
2024-02-16,1853.68
2024-02-19,1871.8
2024-02-20,1876.71
2024-02-21,1875.23
2024-02-22,1870.61
2024-02-23,1872.93
2024-02-26,1869.25
2024-02-27,1875.45
2024-02-28,1875.3
2024-02-29,1896.34
2024-03-01,1891.31
2024-03-04,1932.26
2024-03-05,1965.38
2024-03-06,1965.56
2024-03-07,1968.96
2024-03-08,1984.82
2024-03-11,1995.84
2024-03-12,1979.35
2024-03-13,1979.01
2024-03-14,1984.75
2024-03-15,1987.73
2024-03-18,1985.6
2024-03-19,1983.52
2024-03-20,1985.87
2024-03-21,1998.99
2024-03-22,2009.62
2024-03-25,2008.58
2024-03-26,2012.56
2024-03-27,2026.71
2024-03-28,2051.08
2024-03-29,2051.08
2024-04-01,2051.08
2024-04-02,2102.99
2024-04-03,2105.21
2024-04-04,2112.07
2024-04-05,2121.22
2024-04-08,2138.48
2024-04-09,2170.52
2024-04-10,2173.06
2024-04-11,2188.51
2024-04-12,2256.62
2024-04-15,2204.02
2024-04-16,2229.79
2024-04-17,2244.46
2024-04-18,2236.65
2024-04-19,2233.62
2024-04-22,2192.65
2024-04-23,2176.12
2024-04-24,2170.28
2024-04-25,2160.75
2024-04-26,2190.84
2024-04-29,2175.6
2024-04-30,2160.31
2024-05-01,2157.37
2024-05-02,2135.72
2024-05-03,2131.6
2024-05-06,2131.6
2024-05-07,2153.76
2024-05-08,2148.75
2024-05-09,2158.22
2024-05-10,2201.61
2024-05-13,2171.39
2024-05-14,2176.99
2024-05-15,2168.41
2024-05-16,2186.52
2024-05-17,2210.51
2024-05-20,2227.41
2024-05-21,2236.32
2024-05-22,2220.7
2024-05-23,2179.1
2024-05-24,2159.77
2024-05-27,2159.77
2024-05-28,2161.52
2024-05-29,2166.56
2024-05-30,2166.56
2024-05-31,2164.88
2024-06-03,2147.63
2024-06-04,2137.87
2024-06-05,2153.95
2024-06-06,2169.27
2024-06-07,2138.64
2024-06-10,2142.83
2024-06-11,2157.49
2024-06-12,2145.2
2024-06-13,2152.59
2024-06-14,2177.79
2024-06-17,2163.08
2024-06-18,2164.4
